INFO 2025-07-17 23:31:43,586 autoreload 18 139765394963328 Watching for file changes with StatReloader
INFO 2025-07-17 23:31:51,777 autoreload 18 139765394963328 /app/league_tracker/settings.py changed, reloading.
INFO 2025-07-17 23:31:52,336 autoreload 20 139943898090368 Watching for file changes with StatReloader
INFO 2025-07-17 23:33:45,950 autoreload 10 139757697686400 Watching for file changes with StatReloader
INFO 2025-07-17 23:34:09,294 autoreload 10 139757697686400 /app/api/views.py changed, reloading.
INFO 2025-07-17 23:34:09,972 autoreload 12 140093843716992 Watching for file changes with StatReloader
INFO 2025-07-17 23:34:23,233 autoreload 12 140093843716992 /app/api/riot_api.py changed, reloading.
INFO 2025-07-17 23:34:24,001 autoreload 14 140036145568640 Watching for file changes with StatReloader
INFO 2025-07-17 23:34:44,876 autoreload 10 140453015513984 Watching for file changes with StatReloader
INFO 2025-07-17 23:35:56,140 basehttp 10 140452937328320 "GET /api/friends/ HTTP/1.1" 200 513
INFO 2025-07-17 23:35:56,158 basehttp 10 140452928935616 "GET /api/friends/ HTTP/1.1" 200 513
INFO 2025-07-17 23:36:11,038 views 10 140452928935616 Adding friend: paca#1889 in region na1 with 50 matches
INFO 2025-07-17 23:36:11,038 views 10 140452928935616 Fetching summoner data for paca#1889
INFO 2025-07-17 23:36:11,038 riot_api 10 140452928935616 Making Riot API request to: https://americas.api.riotgames.com/riot/account/v1/accounts/by-riot-id/paca/1889
DEBUG 2025-07-17 23:36:11,042 connectionpool 10 140452928935616 Starting new HTTPS connection (1): americas.api.riotgames.com:443
DEBUG 2025-07-17 23:36:11,715 connectionpool 10 140452928935616 https://americas.api.riotgames.com:443 "GET /riot/account/v1/accounts/by-riot-id/paca/1889 HTTP/1.1" 200 None
INFO 2025-07-17 23:36:11,716 riot_api 10 140452928935616 Riot API response status: 200
INFO 2025-07-17 23:36:11,717 riot_api 10 140452928935616 Riot API response data keys: ['puuid', 'gameName', 'tagLine']
INFO 2025-07-17 23:36:11,718 views 10 140452928935616 Summoner data received: {'puuid': '5HKE2qWyQYq-mrzbt_--LKas7GROst-AxzpWM-cK-PLg8hc_0VfbWy0aL8-aPxEAke--wg1yQjhJFA', 'gameName': 'paca', 'tagLine': '1889'}
INFO 2025-07-17 23:36:11,731 views 10 140452928935616 Friend created: paca#1889
INFO 2025-07-17 23:36:11,731 views 10 140452928935616 Fetching 50 match IDs for PUUID: 5HKE2qWyQYq-mrzbt_--LKas7GROst-AxzpWM-cK-PLg8hc_0VfbWy0aL8-aPxEAke--wg1yQjhJFA
INFO 2025-07-17 23:36:11,731 riot_api 10 140452928935616 Making Riot API request to: https://americas.api.riotgames.com/lol/match/v5/matches/by-puuid/5HKE2qWyQYq-mrzbt_--LKas7GROst-AxzpWM-cK-PLg8hc_0VfbWy0aL8-aPxEAke--wg1yQjhJFA/ids
INFO 2025-07-17 23:36:11,732 riot_api 10 140452928935616 Request parameters: {'count': 50}
DEBUG 2025-07-17 23:36:11,733 connectionpool 10 140452928935616 Starting new HTTPS connection (1): americas.api.riotgames.com:443
DEBUG 2025-07-17 23:36:12,094 connectionpool 10 140452928935616 https://americas.api.riotgames.com:443 "GET /lol/match/v5/matches/by-puuid/5HKE2qWyQYq-mrzbt_--LKas7GROst-AxzpWM-cK-PLg8hc_0VfbWy0aL8-aPxEAke--wg1yQjhJFA/ids?count=50 HTTP/1.1" 200 None
INFO 2025-07-17 23:36:12,095 riot_api 10 140452928935616 Riot API response status: 200
INFO 2025-07-17 23:36:12,096 riot_api 10 140452928935616 Riot API response data keys: Not a dict
ERROR 2025-07-17 23:36:12,097 views 10 140452928935616 Error fetching matches: 'list' object has no attribute 'get'
INFO 2025-07-17 23:36:12,099 basehttp 10 140452928935616 "POST /api/friends/add-by-riot-id/ HTTP/1.1" 201 353
INFO 2025-07-17 23:36:27,896 basehttp 10 140452928935616 "GET /api/profile/ HTTP/1.1" 200 174
INFO 2025-07-17 23:36:27,913 basehttp 10 140452937328320 "GET /api/profile/ HTTP/1.1" 200 174
INFO 2025-07-17 23:36:31,338 basehttp 10 140452937328320 "POST /api/auth/login/ HTTP/1.1" 200 101
INFO 2025-07-17 23:36:31,424 basehttp 10 140452937328320 "GET /api/tiles/ HTTP/1.1" 200 1153
INFO 2025-07-17 23:36:31,466 basehttp 10 140452928935616 "GET /api/tiles/ HTTP/1.1" 200 1153
INFO 2025-07-17 23:36:32,693 basehttp 10 140452928935616 "GET /api/friends/ HTTP/1.1" 200 732
INFO 2025-07-17 23:36:32,712 basehttp 10 140452937328320 "GET /api/friends/ HTTP/1.1" 200 732
INFO 2025-07-17 23:36:38,076 basehttp 10 140452920542912 "OPTIONS /api/friends/3/ HTTP/1.1" 200 0
